"","flag","clutch","year","species"
"557","281","3","2015","herg"
"558","448","3","2015","herg"
"559","107","3","2015","herg"
"560","184","3","2015","herg"
"561","99","3","2015","herg"
"562","130","3","2015","herg"
"563","158","3","2015","herg"
"564","279","3","2015","herg"
"565","335","0","2015","herg"
"566","458","3","2015","herg"
"567","331","3","2015","herg"
"568","46","3","2015","herg"
"569","319","3","2015","herg"
"570","304","3","2015","herg"
"571","38","3","2015","herg"
"572","330","3","2015","herg"
"573","895","3","2015","herg"
"574","257","3","2015","herg"
"575","362","0","2015","herg"
"576","347","3","2015","herg"
"577","168","3","2015","herg"
"578","383","3","2015","herg"
"579","380","3","2015","herg"
"580","393","2","2015","herg"
"581","359","0","2015","herg"
"582","370","3","2015","herg"
"583","311","1","2015","herg"
"584","825","3","2015","herg"
"585","875","3","2015","herg"
"586","888","3","2015","herg"
"587","304","3","2015","herg"
"588","378","3","2015","herg"
"589","68","3","2015","herg"
"590","386","1","2015","herg"
"591","329","3","2015","herg"
"592","42","1","2015","herg"
"593","17","0","2015","herg"
"594","317","3","2015","herg"
"595","389","3","2015","herg"
"596","371","2","2015","herg"
"597","837","2","2015","herg"
"598","18","1","2015","herg"
"599","307","3","2015","herg"
"600","584","3","2015","coei"
"601","94","3","2015","herg"
"602","365","3","2015","herg"
"603","824","3","2015","herg"
"604","595","4","2015","coei"
"605","444","3","2015","herg"
"606","344","3","2015","herg"
"607","849","3","2015","herg"
"608","339","3","2015","herg"
"609","598","3","2015","herg"
"610","396","0","2015","herg"
"611","280","3","2015","herg"
"612","832","5","2015","coei"
"613","12","3","2015","herg"
"614","90","0","2015","herg"
"615","828","6","2015","coei"
"616","315","2","2015","herg"
"617","876","1","2015","herg"
"618","35","3","2015","herg"
"619","434","3","2015","herg"
"620","30","3","2015","herg"
"621","19","3","2015","herg"
"622","397","3","2015","herg"
"623","349","0","2015","herg"
"624","823","2","2015","herg"
"625","14","2","2015","herg"
"626","43","3","2015","herg"
"627","175","1","2015","herg"
"628","328","3","2015","herg"
"629","33","3","2015","herg"
"630","104","1","2015","herg"
"631","351","1","2015","herg"
"632","863","2","2015","herg"
"633","16","3","2015","herg"
"634","641","3","2015","herg"
"635","371","4","2015","herg"
"636","409","1","2015","herg"
"637","40","3","2015","herg"
"638","69","3","2015","herg"
"639","381","0","2015","herg"
"640","260","3","2015","herg"
"641","886","3","2015","herg"
"642","83","3","2015","herg"
"643","71","3","2015","herg"
"644","11","3","2015","herg"
"645","185","0","2015","herg"
"646","829","1","2015","herg"
"647","13","2","2015","herg"
"648","326","1","2015","herg"
"649","391","3","2015","herg"
"650","92","3","2015","herg"
"651","874","3","2015","herg"
"652","867","3","2015","herg"
"653","877","2","2015","herg"
"654","589","0","2015","herg"
"655","865","3","2015","herg"
"656","925","2","2015","herg"
"657","923","3","2015","herg"
"658","917","3","2015","herg"
"659","919","2","2015","herg"
"660","924","3","2015","herg"
"661","902","3","2015","herg"
"662","913","3","2015","herg"
"663","901","3","2015","herg"
"664","908","3","2015","herg"
"665","926","4","2015","herg"
"666","929","3","2015","herg"
"667","916","2","2015","herg"
"668","909","3","2015","herg"
"669","927","3","2015","herg"
"670","921","1","2015","herg"
"671","920","3","2015","herg"
"672","922","2","2015","herg"
"673","904","3","2015","herg"
"674","910","3","2015","herg"
"675","905","3","2015","herg"
"676","907","3","2015","herg"
"677","918","2","2015","herg"
"678","903","2","2015","herg"
"679",NA,NA,"2015","herg"
"680","673","2","2015","herg"
"681","675","3","2015","herg"
"682","36","3","2015","herg"
"683","710","3","2015","gbbg"
"684","911","3","2015","herg"
"685","83","3","2015","herg"
"686","642","3","2015","herg"
"687","50","3","2015","herg"
"688","695","3","2015","herg"
"689","706","3","2015","herg"
"690","131","2","2015","herg"
"691","575","3","2015","herg"
"692","169","3","2015","herg"
"693","80","2","2015","herg"
"694","18","3","2015","herg"
"695","621","2","2015","herg"
"696","133","3","2015","herg"
"697","53","3","2015","herg"
"698","75","3","2015","herg"
"699","477","3","2015","herg"
"700","37","3","2015","herg"
"701","118","3","2015","herg"
"702","618","3","2015","herg"
"703","35","3","2015","herg"
"704","578","3","2015","herg"
"705","358","1","2015","herg"
"706","475","3","2015","herg"
"707","121","3","2015","herg"
"708","906","3","2015","herg"
"709","672","3","2015","herg"
"710","582","3","2015","herg"
"711","723","3","2015","gbbg"
"712","56","3","2015","herg"
"713","543","3","2015","herg"
"714","59","0","2015","herg"
"715","81","3","2015","herg"
"716","711","3","2015","gbbg"
"717","646","3","2015","herg"
"718","89","2","2015","herg"
"719","132","3","2015","herg"
"720","111","2","2015","herg"
"721","119","3","2015","herg"
"722","50","3","2015","herg"
"723","446","2","2015","herg"
"724","678","1","2015","herg"
"725","631","3","2015","herg"
"726","588","2","2015","herg"
"727","170","3","2015","herg"
"728","720","3","2015","gbbg"
"729","671","2","2015","herg"
"730","517","2","2015","herg"
"731","493","3","2015","herg"
"732","132","3","2015","herg"
"733","85","3","2015","herg"
"734","604","2","2015","herg"
"735","514","3","2015","herg"
"736","583","3","2015","herg"
"737","44","3","2015","herg"
"738","101","3","2015","herg"
"739","527","2","2015","herg"
"740","722","3","2015","gbbg"
"741","639","3","2015","herg"
"742","141","3","2015","herg"
"743","638","2","2015","herg"
"744","13","1","2015","herg"
"745","681","3","2015","herg"
"746","696","2","2015","herg"
"747","619","3","2015","herg"
"748","WESTSIDE EXTENSION:",NA,"2015","herg"
"749",NA,"3","2015","herg"
"750",NA,"3","2015","herg"
"751",NA,"3","2015","herg"
"752",NA,"2","2015","herg"
"753",NA,"1","2015","herg"
"754",NA,"1","2015","herg"
"755",NA,"2","2015","herg"
"756",NA,"3","2015","herg"
"757",NA,"3","2015","herg"
"758",NA,"3","2015","herg"
"759",NA,"3","2015","herg"
"760",NA,"3","2015","herg"
"761",NA,"2","2015","herg"
"762",NA,"3","2015","herg"
"763",NA,"3","2015","herg"
"764",NA,"2","2015","herg"
"765",NA,"3","2015","herg"
"766",NA,"2","2015","herg"
"767",NA,"3","2015","herg"
"768",NA,"2","2015","herg"
"769",NA,"1","2015","herg"
"770",NA,"3","2015","herg"
"771",NA,"2","2015","herg"
"772",NA,"3","2015","herg"
"773",NA,"3","2015","herg"
"774",NA,"3","2015","herg"
"775",NA,"3","2015","herg"
"776",NA,"3","2015","herg"
"777",NA,"3","2015","herg"
"778",NA,"3","2015","herg"
"779",NA,"3","2015","herg"
"780",NA,"3","2015","herg"
"781",NA,"3","2015","herg"
"782",NA,"3","2015","herg"
"783",NA,"3","2015","herg"
"784",NA,"3","2015","herg"
"785",NA,"3","2015","herg"
"786",NA,"2","2015","herg"
"787",NA,"3","2015","herg"
"788",NA,"3","2015","herg"
"789",NA,"3","2015","herg"
"790",NA,"3","2015","herg"
"791",NA,"3","2015","herg"
"792",NA,"3","2015","herg"
"793",NA,"3","2015","herg"
"794",NA,"2","2015","herg"
"795",NA,"3","2015","herg"
"796",NA,"3","2015","herg"
"797",NA,"2","2015","herg"
"798",NA,"3","2015","herg"
"799",NA,"3","2015","herg"
"800",NA,"3","2015","herg"
"801",NA,"2","2015","herg"
"802",NA,"3","2015","herg"
"803",NA,"3","2015","herg"
"804",NA,"3","2015","herg"
"805",NA,"3","2015","herg"
"806",NA,"3","2015","herg"
"807",NA,"1","2015","herg"
"808",NA,"3","2015","herg"
"809",NA,"2","2015","herg"
"810",NA,"3","2015","herg"
"811",NA,"3","2015","herg"
"812",NA,"5","2015","coei"
"813",NA,"3","2015","herg"
"814",NA,"3","2015","herg"
"815",NA,"3","2015","herg"
"816",NA,"3","2015","herg"
"817",NA,"1","2015","herg"
"818",NA,"3","2015","herg"
"819",NA,"2","2015","herg"
"820",NA,"1","2015","herg"
"821",NA,"3","2015","herg"
"822",NA,"3","2015","herg"
"823",NA,"1","2015","herg"
"824",NA,"3","2015","herg"
"825",NA,"3","2015","herg"
"826",NA,"3","2015","herg"
"827",NA,"3","2015","herg"
"828",NA,"2","2015","herg"
"829",NA,"3","2015","herg"
"830",NA,"3","2015","herg"
"831",NA,"2","2015","herg"
"832",NA,"3","2015","herg"
"833",NA,"3","2015","herg"
"834",NA,"3","2015","herg"
"835",NA,"3","2015","herg"
"836",NA,"3","2015","herg"
"837",NA,"1","2015","herg"
"838",NA,"2","2015","herg"
"839",NA,"3","2015","herg"
"840",NA,"3","2015","herg"
"841",NA,"3","2015","herg"
"842",NA,"3","2015","herg"
"843",NA,"3","2015","herg"
"844",NA,"2","2015","herg"
"845",NA,"2","2015","herg"
"846",NA,"2","2015","herg"
"847",NA,"3","2015","herg"
"848",NA,"2","2015","herg"
"849",NA,"3","2015","herg"
"850",NA,"2","2015","herg"
"851",NA,"3","2015","herg"
"852",NA,"3","2015","herg"
"853",NA,"3","2015","herg"
"854",NA,"3","2015","herg"
"855",NA,"3","2015","herg"
"856",NA,"2","2015","herg"
"857",NA,"3","2015","herg"
"858",NA,"3","2015","herg"
"859",NA,"1","2015","herg"
"860",NA,"3","2015","herg"
