"","flag","year","species","clutch"
"528","525",2022,"herg","3"
"529","650",2022,"herg","3"
"530","292",2022,"herg","1"
"531","635",2022,"herg","3"
"532","422",2022,"herg","3"
"533","573",2022,"herg","3"
"534","308",2022,"herg","3"
"535","768",2022,"herg","2"
"536","524",2022,"herg","3"
"537","549",2022,"herg","2"
"538","269",2022,"herg","3"
"539","374",2022,"herg","1"
"540","597",2022,"herg","3"
"541","712",2022,"herg","2"
"542","337",2022,"herg","3"
"543","144",2022,"herg","3"
"544","17",2022,"herg","3"
"545","576",2022,"herg","2"
"546","172",2022,"herg","3"
"547","642",2022,"herg","3"
"548","362",2022,"herg","3"
"549","599",2022,"herg","1"
"550","7",2022,"herg","3"
"551","64",2022,"herg","2"
"552","357",2022,"herg","2"
"553","67",2022,"herg","3"
"554","186",2022,"herg","1"
"555","16",2022,"herg","2"
"556","385",2022,"herg","2"
"557","680",2022,"herg","3"
"558","306",2022,"herg","2"
"559","552",2022,"herg","3"
"560","446",2022,"herg","2"
"561","421",2022,"herg","3"
"562","89",2022,"herg","3"
"563","645",2022,"herg","3"
"564","133",2022,"herg","3"
"565","581",2022,"herg","3"
"566","495",2022,"herg","2"
"567","175",2022,"herg","3"
"568","559",2022,"herg","3"
"569","96",2022,"herg","3"
"570","657",2022,"herg","3"
"571","204",2022,"herg","1"
"572","583",2022,"herg","1"
"573","507",2022,"herg","3"
"574","668",2022,"herg","3"
"575","148",2022,"herg","2"
"576","579",2022,"gbbg","2"
"577","614",2022,"herg","3"
"578","493",2022,"herg","3"
"579","612",2022,"herg","3"
"580","515",2022,"herg","1"
"581","168",2022,"herg","3"
"582","615",2022,"herg","2"
"583","189",2022,"herg","3"
"584","717",2022,"herg","3"
"585","667",2022,"herg","3"
"586","185",2022,"herg","3"
"587","572",2022,"herg","2"
"588","550",2022,"herg","3"
"589","181",2022,"herg","1"
"590","187",2022,"herg","3"
"591","174",2022,"herg","3"
"592","598",2022,"herg","3"
"593","134",2022,"herg","3"
"594","587",2022,"herg","3"
"595","582",2022,"herg","3"
"596","708",2022,"herg","3"
"597","151",2022,"herg","3"
"598","735",2022,"herg","3"
"599","192",2022,"herg","3"
"600","179",2022,"herg","3"
"601","742",2022,"herg","1"
"602","655",2022,"herg","1"
"603","538",2022,"gbbg","3"
"604","733",2022,"herg","2"
"605","675",2022,"herg","3"
"606","190",2022,"herg","3"
"607","195",2022,"herg","2"
"608","595",2022,"herg","3"
"609","660",2022,"herg","3"
"610","656",2022,"gbbg","3"
"611","762",2022,"herg","3"
"612","624",2022,"herg","2"
"613","689",2022,"herg","3"
"614","676",2022,"herg","3"
"615","690",2022,"herg","3"
"616","692",2022,"herg","3"
"617","318",2022,"herg","3"
"618","797",2022,"herg","3"
"619","511",2022,"herg","2"
"620","737",2022,"herg","2"
"621","183",2022,"herg","3"
"622","588",2022,"herg","3"
"623","763",2022,"herg","3"
"624","313",2022,"coei","5"
"625","330",2022,"coei","5"
"626","596",2022,"herg","3"
"627","347",2022,"herg","3"
"628","359",2022,"herg","3"
"629","160",2022,"herg","3"
"630","346",2022,"herg","2"
"631","103",2022,"herg","2"
"632","363",2022,"herg","3"
"633","546",2022,"herg","3"
"634","373",2022,"coei","4"
"635","349",2022,"herg","3"
"636","522",2022,"herg","3"
"637","400",2022,"herg","3"
"638","173",2022,"herg","3"
"639","191",2022,"herg","2"
"640","176",2022,"herg","2"
"641","386",2022,"herg","3"
"642","315",2022,"herg","3"
"643","331",2022,"herg","3"
"644","19",2022,"herg","3"
"645","334",2022,"herg","3"
"646","562",2022,"herg","3"
"647","324",2022,"herg","3"
"648","619",2022,"herg","3"
"649","167",2022,"herg","3"
"650","2",2022,"herg","1"
"651","145",2022,"herg","1"
"652","739",2022,"herg","3"
"653","301",2022,"herg","3"
"654","23",2022,"herg","2"
"655","178",2022,"herg","3"
"656","353",2022,"herg","3"
"657","38",2022,"herg","3"
"658","47",2022,"herg","3"
"659","707",2022,"herg","3"
"660","77",2022,"herg","3"
"661","188",2022,"herg","3"
"662","150",2022,"herg","3"
"663","193",2022,"herg","2"
"664","30",2022,"herg","3"
"665","171",2022,"herg","3"
"666","51",2022,"herg","3"
"667","24",2022,"herg","3"
"668",NA,2022,"herg","2"
"669",NA,2022,"herg","3"
"670",NA,2022,"herg","3"
"671",NA,2022,"herg","3"
"672",NA,2022,"herg","3"
"673",NA,2022,"herg","2"
"674",NA,2022,"herg","1"
"675",NA,2022,"herg","3"
"676",NA,2022,"herg","3"
"677",NA,2022,"herg","1"
"678",NA,2022,"herg","3"
"679",NA,2022,"herg","3"
"680",NA,2022,"herg","1"
"681",NA,2022,"herg","1"
"682",NA,2022,"herg","2"
"683",NA,2022,"herg","3"
"684",NA,2022,"herg","2"
"685",NA,2022,"herg","1"
"686",NA,2022,"herg","3"
"687",NA,2022,"herg","3"
"688",NA,2022,"herg","3"
"689",NA,2022,"herg","2"
"690",NA,2022,"herg","3"
"691",NA,2022,"herg","3"
