"","flag","clutch","comment","location","...5","...6","...7","year"
"257",391,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"258",141,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"259",366,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"260",402,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"261",417,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"262",860,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"263",465,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"264",253,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"265",539,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"266",410,5,"eider","PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"267",402,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"268",279,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"269",428,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"270",11,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"271",251,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"272",494,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"273",62,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"274",109,5,"eider, 4 broken","PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"275",65,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"276",466,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"277",87,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"278",314,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"279",468,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"280",52,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"281",459,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"282",477,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"283",487,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"284",550,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"285",592,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"286",313,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"287",300,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"288",562,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"289",293,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"290",547,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"291",24,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"292",225,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"293",379,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"294",852,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"295",72,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"296",285,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"297",454,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"298",416,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"299",178,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"300",348,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"301",455,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"302",352,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"303",490,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"304",432,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"305",570,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"306",296,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"307",344,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"308",274,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"309",194,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"310",412,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"311",317,1,"predated","PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"312",201,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"313",190,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"314",467,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"315",292,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"316",564,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"317",273,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"318",424,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"319",858,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"320",346,1,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"321",240,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"322",157,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"323",475,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"324",220,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"325",819,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"326",237,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"327",419,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"328",136,2,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"329",345,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
"330",492,3,NA,"PuffinPoint->Boardwalk",NA,NA,NA,"2021"
