"","date","species","count","notes","year"
"16923",2019-07-15,"shearwater",0,NA,2019
"16924",2019-07-15,"wisp",0,NA,2019
"16925",2019-07-15,"lbbg",0,NA,2019
"16926",2019-07-16,"herg",455,"3 RABI, 5 Tern, 1 COLO",2019
"16927",2019-07-16,"gbbg",43,"3 RABI, 5 Tern, 1 COLO",2019
"16928",2019-07-16,"coei_ad",136,"3 RABI, 5 Tern, 1 COLO",2019
"16929",2019-07-16,"coei_ju",38,"3 RABI, 5 Tern, 1 COLO",2019
"16930",2019-07-16,"blgu",14,"3 RABI, 5 Tern, 1 COLO",2019
"16931",2019-07-16,"puffin",0,"3 RABI, 5 Tern, 1 COLO",2019
"16932",2019-07-16,"dcco",0,"3 RABI, 5 Tern, 1 COLO",2019
"16933",2019-07-16,"ternsp",5,"3 RABI, 5 Tern, 1 COLO",2019
"16934",2019-07-16,"razo",3,"3 RABI, 5 Tern, 1 COLO",2019
"16935",2019-07-16,"lagu",0,"3 RABI, 5 Tern, 1 COLO",2019
"16936",2019-07-16,"comu",0,"3 RABI, 5 Tern, 1 COLO",2019
"16937",2019-07-16,"baea",0,"3 RABI, 5 Tern, 1 COLO",2019
"16938",2019-07-16,"noga",0,"3 RABI, 5 Tern, 1 COLO",2019
"16939",2019-07-16,"corvid",0,"3 RABI, 5 Tern, 1 COLO",2019
"16940",2019-07-16,"peepsp",0,"3 RABI, 5 Tern, 1 COLO",2019
"16941",2019-07-16,"seals",0,"3 RABI, 5 Tern, 1 COLO",2019
"16942",2019-07-16,"colo",1,"3 RABI, 5 Tern, 1 COLO",2019
"16943",2019-07-16,"cago",0,"3 RABI, 5 Tern, 1 COLO",2019
"16944",2019-07-16,"porpoise",0,"3 RABI, 5 Tern, 1 COLO",2019
"16945",2019-07-16,"raptor",0,"3 RABI, 5 Tern, 1 COLO",2019
"16946",2019-07-16,"gbhe",0,"3 RABI, 5 Tern, 1 COLO",2019
"16947",2019-07-16,"scoter",0,"3 RABI, 5 Tern, 1 COLO",2019
"16948",2019-07-16,"shearwater",0,"3 RABI, 5 Tern, 1 COLO",2019
"16949",2019-07-16,"wisp",0,"3 RABI, 5 Tern, 1 COLO",2019
"16950",2019-07-16,"lbbg",0,"3 RABI, 5 Tern, 1 COLO",2019
"16951",2019-07-17,"herg",375,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16952",2019-07-17,"gbbg",32,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16953",2019-07-17,"coei_ad",105,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16954",2019-07-17,"coei_ju",30,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16955",2019-07-17,"blgu",11,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16956",2019-07-17,"puffin",13,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16957",2019-07-17,"dcco",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16958",2019-07-17,"ternsp",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16959",2019-07-17,"razo",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16960",2019-07-17,"lagu",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16961",2019-07-17,"comu",1,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16962",2019-07-17,"baea",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16963",2019-07-17,"noga",15,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16964",2019-07-17,"corvid",2,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16965",2019-07-17,"peepsp",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16966",2019-07-17,"seals",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16967",2019-07-17,"colo",1,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16968",2019-07-17,"cago",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16969",2019-07-17,"porpoise",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16970",2019-07-17,"raptor",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16971",2019-07-17,"gbhe",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16972",2019-07-17,"scoter",1,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16973",2019-07-17,"shearwater",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16974",2019-07-17,"wisp",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16975",2019-07-17,"lbbg",0,"1 COMU, 1 COLO, 13 ATPU, 2 AMCR, 15 NOGA, 1 BLSC",2019
"16976",2019-07-18,"herg",375,"4 atpu 3dcco",2019
"16977",2019-07-18,"gbbg",21,"4 atpu 3dcco",2019
"16978",2019-07-18,"coei_ad",117,"4 atpu 3dcco",2019
"16979",2019-07-18,"coei_ju",41,"4 atpu 3dcco",2019
"16980",2019-07-18,"blgu",9,"4 atpu 3dcco",2019
"16981",2019-07-18,"puffin",4,"4 atpu 3dcco",2019
"16982",2019-07-18,"dcco",3,"4 atpu 3dcco",2019
"16983",2019-07-18,"ternsp",0,"4 atpu 3dcco",2019
"16984",2019-07-18,"razo",0,"4 atpu 3dcco",2019
"16985",2019-07-18,"lagu",0,"4 atpu 3dcco",2019
"16986",2019-07-18,"comu",0,"4 atpu 3dcco",2019
"16987",2019-07-18,"baea",0,"4 atpu 3dcco",2019
"16988",2019-07-18,"noga",0,"4 atpu 3dcco",2019
"16989",2019-07-18,"corvid",0,"4 atpu 3dcco",2019
"16990",2019-07-18,"peepsp",0,"4 atpu 3dcco",2019
"16991",2019-07-18,"seals",0,"4 atpu 3dcco",2019
"16992",2019-07-18,"colo",0,"4 atpu 3dcco",2019
"16993",2019-07-18,"cago",0,"4 atpu 3dcco",2019
"16994",2019-07-18,"porpoise",0,"4 atpu 3dcco",2019
"16995",2019-07-18,"raptor",0,"4 atpu 3dcco",2019
"16996",2019-07-18,"gbhe",0,"4 atpu 3dcco",2019
"16997",2019-07-18,"scoter",0,"4 atpu 3dcco",2019
"16998",2019-07-18,"shearwater",0,"4 atpu 3dcco",2019
"16999",2019-07-18,"wisp",0,"4 atpu 3dcco",2019
"17000",2019-07-18,"lbbg",0,"4 atpu 3dcco",2019
"17001",2019-07-19,"herg",445,"6 atpu 1dcco 3 gannets",2019
"17002",2019-07-19,"gbbg",17,"6 atpu 1dcco 3 gannets",2019
"17003",2019-07-19,"coei_ad",174,"6 atpu 1dcco 3 gannets",2019
"17004",2019-07-19,"coei_ju",36,"6 atpu 1dcco 3 gannets",2019
"17005",2019-07-19,"blgu",8,"6 atpu 1dcco 3 gannets",2019
"17006",2019-07-19,"puffin",6,"6 atpu 1dcco 3 gannets",2019
"17007",2019-07-19,"dcco",1,"6 atpu 1dcco 3 gannets",2019
"17008",2019-07-19,"ternsp",0,"6 atpu 1dcco 3 gannets",2019
"17009",2019-07-19,"razo",0,"6 atpu 1dcco 3 gannets",2019
"17010",2019-07-19,"lagu",0,"6 atpu 1dcco 3 gannets",2019
"17011",2019-07-19,"comu",0,"6 atpu 1dcco 3 gannets",2019
"17012",2019-07-19,"baea",0,"6 atpu 1dcco 3 gannets",2019
"17013",2019-07-19,"noga",3,"6 atpu 1dcco 3 gannets",2019
"17014",2019-07-19,"corvid",0,"6 atpu 1dcco 3 gannets",2019
"17015",2019-07-19,"peepsp",0,"6 atpu 1dcco 3 gannets",2019
"17016",2019-07-19,"seals",0,"6 atpu 1dcco 3 gannets",2019
"17017",2019-07-19,"colo",0,"6 atpu 1dcco 3 gannets",2019
"17018",2019-07-19,"cago",0,"6 atpu 1dcco 3 gannets",2019
"17019",2019-07-19,"porpoise",0,"6 atpu 1dcco 3 gannets",2019
"17020",2019-07-19,"raptor",0,"6 atpu 1dcco 3 gannets",2019
"17021",2019-07-19,"gbhe",0,"6 atpu 1dcco 3 gannets",2019
"17022",2019-07-19,"scoter",0,"6 atpu 1dcco 3 gannets",2019
"17023",2019-07-19,"shearwater",0,"6 atpu 1dcco 3 gannets",2019
"17024",2019-07-19,"wisp",0,"6 atpu 1dcco 3 gannets",2019
"17025",2019-07-19,"lbbg",0,"6 atpu 1dcco 3 gannets",2019
"17026",2019-07-20,"herg",0,NA,2019
"17027",2019-07-20,"gbbg",0,NA,2019
"17028",2019-07-20,"coei_ad",0,NA,2019
"17029",2019-07-20,"coei_ju",0,NA,2019
"17030",2019-07-20,"blgu",0,NA,2019
"17031",2019-07-20,"puffin",0,NA,2019
"17032",2019-07-20,"dcco",0,NA,2019
"17033",2019-07-20,"ternsp",0,NA,2019
"17034",2019-07-20,"razo",0,NA,2019
"17035",2019-07-20,"lagu",0,NA,2019
"17036",2019-07-20,"comu",0,NA,2019
"17037",2019-07-20,"baea",0,NA,2019
"17038",2019-07-20,"noga",0,NA,2019
"17039",2019-07-20,"corvid",0,NA,2019
"17040",2019-07-20,"peepsp",0,NA,2019
"17041",2019-07-20,"seals",0,NA,2019
"17042",2019-07-20,"colo",0,NA,2019
"17043",2019-07-20,"cago",0,NA,2019
"17044",2019-07-20,"porpoise",0,NA,2019
"17045",2019-07-20,"raptor",0,NA,2019
"17046",2019-07-20,"gbhe",0,NA,2019
"17047",2019-07-20,"scoter",0,NA,2019
"17048",2019-07-20,"shearwater",0,NA,2019
"17049",2019-07-20,"wisp",0,NA,2019
"17050",2019-07-20,"lbbg",0,NA,2019
"17051",2019-07-21,"herg",0,NA,2019
"17052",2019-07-21,"gbbg",0,NA,2019
"17053",2019-07-21,"coei_ad",0,NA,2019
"17054",2019-07-21,"coei_ju",0,NA,2019
"17055",2019-07-21,"blgu",0,NA,2019
"17056",2019-07-21,"puffin",0,NA,2019
"17057",2019-07-21,"dcco",0,NA,2019
"17058",2019-07-21,"ternsp",0,NA,2019
"17059",2019-07-21,"razo",0,NA,2019
"17060",2019-07-21,"lagu",0,NA,2019
"17061",2019-07-21,"comu",0,NA,2019
"17062",2019-07-21,"baea",0,NA,2019
"17063",2019-07-21,"noga",0,NA,2019
"17064",2019-07-21,"corvid",0,NA,2019
"17065",2019-07-21,"peepsp",0,NA,2019
"17066",2019-07-21,"seals",0,NA,2019
