"","date","species","count","notes","year"
"236",2002-06-16,"coei_ad",90,"1 DCCO, 1 spotted sandpiper",2002
"237",2002-06-16,"blgu",106,"1 DCCO, 1 spotted sandpiper",2002
"238",2002-06-16,"dcco",1,"1 DCCO, 1 spotted sandpiper",2002
"239",2002-06-16,"peepsp",1,"1 DCCO, 1 spotted sandpiper",2002
"240",2002-06-18,"herg",130,"1 LAGU, 14 DCCO, 1 seal",2002
"241",2002-06-18,"gbbg",8,"1 LAGU, 14 DCCO, 1 seal",2002
"242",2002-06-18,"coei_ad",69,"1 LAGU, 14 DCCO, 1 seal",2002
"243",2002-06-18,"blgu",256,"1 LAGU, 14 DCCO, 1 seal",2002
"244",2002-06-18,"dcco",14,"1 LAGU, 14 DCCO, 1 seal",2002
"245",2002-06-18,"lagu",1,"1 LAGU, 14 DCCO, 1 seal",2002
"246",2002-06-18,"seals",1,"1 LAGU, 14 DCCO, 1 seal",2002
"247",2002-06-19,"herg",119,NA,2002
"248",2002-06-19,"gbbg",10,NA,2002
"249",2002-06-19,"coei_ad",42,NA,2002
"250",2002-06-19,"blgu",137,NA,2002
"251",2002-06-20,"herg",112,NA,2002
"252",2002-06-20,"gbbg",4,NA,2002
"253",2002-06-20,"coei_ad",9,NA,2002
"254",2002-06-20,"blgu",152,NA,2002
"255",2002-06-21,"herg",120,NA,2002
"256",2002-06-21,"gbbg",8,NA,2002
"257",2002-06-21,"coei_ad",70,NA,2002
"258",2002-06-21,"blgu",144,NA,2002
"259",2002-06-22,"herg",154,"3 RAZO, 5 DCCO, 3 loons?,",2002
"260",2002-06-22,"gbbg",10,"3 RAZO, 5 DCCO, 3 loons?,",2002
"261",2002-06-22,"coei_ad",90,"3 RAZO, 5 DCCO, 3 loons?,",2002
"262",2002-06-22,"blgu",170,"3 RAZO, 5 DCCO, 3 loons?,",2002
"263",2002-06-22,"dcco",5,"3 RAZO, 5 DCCO, 3 loons?,",2002
"264",2002-06-22,"razo",3,"3 RAZO, 5 DCCO, 3 loons?,",2002
"265",2002-06-22,"colo",3,"3 RAZO, 5 DCCO, 3 loons?,",2002
"266",2002-06-23,"herg",150,"5 DCCO",2002
"267",2002-06-23,"gbbg",11,"5 DCCO",2002
"268",2002-06-23,"coei_ad",22,"5 DCCO",2002
"269",2002-06-23,"coei_ju",20,"5 DCCO",2002
"270",2002-06-23,"blgu",230,"5 DCCO",2002
"271",2002-06-23,"dcco",5,"5 DCCO",2002
"272",2002-06-24,"herg",100,NA,2002
"273",2002-06-24,"gbbg",6,NA,2002
"274",2002-06-24,"coei_ad",36,NA,2002
"275",2002-06-24,"coei_ju",17,NA,2002
"276",2002-06-24,"blgu",164,NA,2002
"277",2002-06-25,"herg",120,NA,2002
"278",2002-06-25,"gbbg",6,NA,2002
"279",2002-06-25,"coei_ad",130,NA,2002
"280",2002-06-25,"coei_ju",4,NA,2002
"281",2002-06-25,"blgu",310,NA,2002
"282",2002-06-26,"herg",100,"1 DCCO, 1 seal",2002
"283",2002-06-26,"gbbg",15,"1 DCCO, 1 seal",2002
"284",2002-06-26,"coei_ad",90,"1 DCCO, 1 seal",2002
"285",2002-06-26,"coei_ju",10,"1 DCCO, 1 seal",2002
"286",2002-06-26,"blgu",170,"1 DCCO, 1 seal",2002
"287",2002-06-26,"dcco",1,"1 DCCO, 1 seal",2002
"288",2002-06-26,"seals",1,"1 DCCO, 1 seal",2002
"289",2002-06-29,"herg",109,NA,2002
"290",2002-06-29,"gbbg",6,NA,2002
"291",2002-06-29,"coei_ad",77,NA,2002
"292",2002-06-29,"coei_ju",19,NA,2002
"293",2002-06-29,"blgu",170,NA,2002
"294",2002-06-30,"herg",158,NA,2002
"295",2002-06-30,"gbbg",5,NA,2002
"296",2002-06-30,"coei_ad",90,NA,2002
"297",2002-06-30,"coei_ju",31,NA,2002
"298",2002-06-30,"blgu",194,NA,2002
"299",2002-07-01,"herg",210,NA,2002
"300",2002-07-01,"gbbg",19,NA,2002
"301",2002-07-01,"coei_ad",61,NA,2002
"302",2002-07-01,"coei_ju",27,NA,2002
"303",2002-07-01,"blgu",185,NA,2002
"304",2002-07-02,"herg",123,NA,2002
"305",2002-07-02,"gbbg",14,NA,2002
"306",2002-07-02,"coei_ad",47,NA,2002
"307",2002-07-02,"coei_ju",30,NA,2002
"308",2002-07-02,"blgu",160,NA,2002
"309",2002-07-07,"herg",145,"2 seals, 3 DCCO, 1 common murre",2002
"310",2002-07-07,"gbbg",10,"2 seals, 3 DCCO, 1 common murre",2002
"311",2002-07-07,"coei_ad",186,"2 seals, 3 DCCO, 1 common murre",2002
"312",2002-07-07,"coei_ju",56,"2 seals, 3 DCCO, 1 common murre",2002
"313",2002-07-07,"blgu",395,"2 seals, 3 DCCO, 1 common murre",2002
"314",2002-07-07,"dcco",3,"2 seals, 3 DCCO, 1 common murre",2002
"315",2002-07-07,"comu",1,"2 seals, 3 DCCO, 1 common murre",2002
"316",2002-07-07,"seals",2,"2 seals, 3 DCCO, 1 common murre",2002
"317",2002-07-08,"herg",165,NA,2002
"318",2002-07-08,"gbbg",15,NA,2002
"319",2002-07-08,"coei_ad",68,NA,2002
"320",2002-07-08,"coei_ju",8,NA,2002
"321",2002-07-08,"blgu",299,NA,2002
"322",2002-07-09,"herg",200,NA,2002
"323",2002-07-09,"gbbg",16,NA,2002
"324",2002-07-09,"coei_ad",250,NA,2002
"325",2002-07-09,"coei_ju",28,NA,2002
"326",2002-07-09,"blgu",227,NA,2002
"327",2002-07-10,"herg",170,"1 ATPU, 1 DCCO",2002
"328",2002-07-10,"gbbg",13,"1 ATPU, 1 DCCO",2002
"329",2002-07-10,"coei_ad",175,"1 ATPU, 1 DCCO",2002
"330",2002-07-10,"coei_ju",33,"1 ATPU, 1 DCCO",2002
"331",2002-07-10,"blgu",238,"1 ATPU, 1 DCCO",2002
"332",2002-07-10,"puffin",1,"1 ATPU, 1 DCCO",2002
"333",2002-07-10,"dcco",1,"1 ATPU, 1 DCCO",2002
"334",2002-07-11,"herg",181,"3 DCCO",2002
"335",2002-07-11,"gbbg",6,"3 DCCO",2002
"336",2002-07-11,"coei_ad",526,"3 DCCO",2002
"337",2002-07-11,"coei_ju",62,"3 DCCO",2002
"338",2002-07-11,"blgu",122,"3 DCCO",2002
"339",2002-07-11,"dcco",3,"3 DCCO",2002
"340",2002-07-12,"herg",189,"1 seal pup on rocks",2002
"341",2002-07-12,"gbbg",10,"1 seal pup on rocks",2002
"342",2002-07-12,"coei_ad",760,"1 seal pup on rocks",2002
"343",2002-07-12,"coei_ju",31,"1 seal pup on rocks",2002
"344",2002-07-12,"blgu",262,"1 seal pup on rocks",2002
"345",2002-07-12,"seals",1,"1 seal pup on rocks",2002
"346",2002-07-13,"herg",200,"1 ATPU, 1 harbor porpoise",2002
"347",2002-07-13,"gbbg",14,"1 ATPU, 1 harbor porpoise",2002
"348",2002-07-13,"coei_ad",350,"1 ATPU, 1 harbor porpoise",2002
"349",2002-07-13,"coei_ju",17,"1 ATPU, 1 harbor porpoise",2002
"350",2002-07-13,"blgu",200,"1 ATPU, 1 harbor porpoise",2002
"351",2002-07-13,"puffin",1,"1 ATPU, 1 harbor porpoise",2002
"352",2002-07-13,"seals",1,"1 ATPU, 1 harbor porpoise",2002
"353",2002-07-14,"herg",170,"2 ATPU, 2 DCCO",2002
"354",2002-07-14,"gbbg",10,"2 ATPU, 2 DCCO",2002
"355",2002-07-14,"coei_ad",300,"2 ATPU, 2 DCCO",2002
"356",2002-07-14,"coei_ju",30,"2 ATPU, 2 DCCO",2002
"357",2002-07-14,"blgu",150,"2 ATPU, 2 DCCO",2002
"358",2002-07-14,"puffin",2,"2 ATPU, 2 DCCO",2002
"359",2002-07-14,"dcco",2,"2 ATPU, 2 DCCO",2002
"360",2002-07-17,"herg",165,NA,2002
"361",2002-07-17,"gbbg",15,NA,2002
"362",2002-07-17,"coei_ad",196,NA,2002
"363",2002-07-17,"coei_ju",22,NA,2002
"364",2002-07-17,"blgu",169,NA,2002
"365",2003-06-11,"herg",166,"1 tv.",2003
"366",2003-06-11,"gbbg",21,"1 tv.",2003
"367",2003-06-11,"coei_ad",29,"1 tv.",2003
"368",2003-06-11,"blgu",366,"1 tv.",2003
"369",2003-06-11,"raptor",1,"1 tv.",2003
