flag,year,species,clutch
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,1
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,3
NA,2022,herg,3
NA,2022,herg,2
NA,2022,herg,1
NA,2022,herg,2
